Item type,Authors,Title,Journal,Full journal,Publication year,Volume,Issue,Pages,Free_access OR gated?,Publisher,Date published,ISSN,ISSN (alt.),URLs,DOI,PMID,Arxiv ID,PMC ID,Copyright,Affiliation,Sub-type,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book Chapter,"Rao M,Newe T","Middleware Application, Suitable to Build an Automated and Connected Smart Manufacturing Environment",,,2021,,,,free_access,IntechOpen,2021,,,https://www.intechopen.com/online-first/middleware-application-suitable-to-build-an-automated-and-connected-smart-manufacturing-environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Book Chapter,"Cahill P,Pakrashi V",Dynamic Response Equivalence of a Scaled Bridge Model Due to Vehicular Movement,,,2021,153,,293,gated,Springer Nature BV,2021,,,https://doi.org/10.1007/978-3-030-73616-3_21,10.1007/978-3-030-73616-3_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Book Chapter,Hamilton K,Towards an Ontology for Propaganda Detection in News Articles,,,2021,,,230-241,gated,Springer Nature BV,2021,,,http://dx.doi.org/10.1007/978-3-030-80418-3_35;https://link.springer.com/chapter/10.1007/978-3-030-80418-3_35,10.1007/978-3-030-80418-3_35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Lohar P,Xie G,Bendechache M,Brennan R,Celeste E,Trestian R,Tal I",Irish attitudes toward COVID tracker app & privacy: sentiment analysis on Twitter and survey data,ACM ARES 2021,,2021,,,01-Aug,free_access,ACM,2021,,,https://doi.org/10.1145/3465481.3469193,10.1145/3465481.3469193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Xie G,Lohar P,Florea C,Bendechache M,Trestian R,et al.",Privacy in Times of COVID-19: A Pilot Study in the Republic of Ireland,ACM ARES 2021,,2021,,,,free_access,ACM,2021,,,https://doi.org/10.1145/3465481.3470096,10.1145/3465481.3470096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Carvalho S,Sullivan J,Dias DM,Naredo E,Ryan C",Using grammatical evolution for modelling energy consumption on a computer numerical control machine,,,2021,,,1557-1563,gated,ACM,07/07/2021,,,https://doi.org/10.1145/3449726.3463185;http://dx.doi.org/10.1145/3449726.3463185;https://dl.acm.org/doi/abs/10.1145/3449726.3463185,10.1145/3449726.3463185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Karami Z,Hines A,Jahromi HZ",Leveraging IoT Lifelog Data to Analyse Performance of Physical Activities,IEEE,,2021,,,01-Jun,gated,IEEE,2021-06,2688-1454,,http://dx.doi.org/10.1109/ISSC52156.2021.9467846;https://ieeexplore.ieee.org/abstract/document/9467846/,10.1109/ISSC52156.2021.9467846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Sopeña JM,Pakrashi V,Ghosh B",Can we improve short-term wind power forecasts using turbine-level data? A case study in Ireland,IEEE,,2021,,,01-Jun,gated,IEEE,2021-06,,,http://dx.doi.org/10.1109/PowerTech46648.2021.9494805;https://ieeexplore.ieee.org/abstract/document/9494805/,10.1109/PowerTech46648.2021.9494805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Thompson S,Dowrick T,Ahmad M,Opie J,Clarkson MJ",Are fiducial registration error and target registration error correlated? SciKit-SurgeryFRED for teaching and research,SPIE,,2021,11598,,115980U,free_access,SPIE,15/02/2021,,,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11598/115980U/Are-fiducial-registration-error-and-target-registration-error-correlated-SciKit/10.1117/12.2580159.short;http://dx.doi.org/10.1117/12.2580159;https://discovery.ucl.ac.uk/id/eprint/10112339/7/Thompson_115980U.pdf,10.1117/12.2580159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conference Paper,"Fitzpatrick J,Ajwani D,Carroll P",Learning to Sparsify Travelling Salesman Problem Instances,Springer,,2021,,,410-426,free_access,Springer Nature BV,2021,,,http://dx.doi.org/10.1007/978-3-030-78230-6_26;https://link.springer.com/chapter/10.1007/978-3-030-78230-6_26;https://arxiv.org/pdf/2104.09345,10.1007/978-3-030-78230-6_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Balestra, Aur{\'e}lia C.; Koussis, Konstantinos; Klages, Natacha; Howell, Steven A.; Flynn, Helen R.; Bantscheff, Marcus; Pasquarello, Carla; Perrin, Abigail J.; Brusini, Lorenzo; Arboit, Patrizia; Sanz, Olalla; Casta{\~n}o, Laura Peces-Barba; Withers-Martinez, Chrislaine; Hainard, Alexandre; Ghidelli-Disse, Sonja; Snijders, Ambrosius P.; Baker, David A.; Blackman, Michael J.; Brochet, Mathieu",Ca2+ signals critical for egress and gametogenesis in malaria parasites depend on a multipass membrane protein that interacts with PKG,Sci Adv,,2021,,,,free_access,AAAS,2021,,,http://dx.doi.org/10.1126/sciadv.abe5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Cai H,Chew SK,Li C,Tsai MK,Andrejka L,Murray CW,Hughes NW,Shuldiner EG,Ashkin EL,Tang R,Hung KL,Chen LC,Lee SYC,Yousefi M,Lin WY,Kunder CA,Cong L,McFarland CD,Petrov DA,Swanton C,Winslow MM",A Functional Taxonomy of Tumor Suppression in Oncogenic KRAS-Driven Lung Cancer,Cancer Discov.,Cancer discovery,2021,11,7,1754-1773,gated,AACR,2021-07,2159-8274,2159-8290,http://dx.doi.org/10.1158/2159-8290.CD-20-1325;https://www.ncbi.nlm.nih.gov/pubmed/33608386;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8292166;http://cancerdiscovery.aacrjournals.org/cgi/pmidlookup?view=long&pmid=33608386;https://cancerdiscovery.aacrjournals.org/content/early/2021/02/16/2159-8290.CD-20-1325.abstract,10.1158/2159-8290.CD-20-1325,33608386,,PMC8292166,,"Department of Genetics, Stanford University School of Medicine, Stanford, California. Cancer Evolution and Genome Instability Laboratory, University College London Cancer Institute, London, United Kingdom. Department of Biology, Stanford University, Stanford, California. Cancer Biology Program, Stanford University School of Medicine, Stanford, California. Department of Pathology, Stanford University School of Medicine, Stanford, California. Department of Biology, Stanford University, Stanford, California. mwinslow@stanford.edu Charles.Swanton@crick.ac.uk dpetrov@stanford.edu. Cancer Evolution and Genome Instability Laboratory, University College London Cancer Institute, London, United Kingdom. mwinslow@stanford.edu Charles.Swanton@crick.ac.uk dpetrov@stanford.edu. Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, London, United Kingdom. Department of Genetics, Stanford University School of Medicine, Stanford, California. mwinslow@stanford.edu Charles.Swanton@crick.ac.uk dpetrov@stanford.edu.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Conforti F,Pala L,Pagan E,Bagnardi V,De Pas T,Queirolo P,Pennacchioli E,Catania C,Cocorocchio E,Ferrucci PF,Saponara M,Orsolini G,Zagami P,Nicoló E,De Marinis F,Tortora G,Bria E,Minucci S,Joffe H,Veronesi P,Wargo J,Rosenthal R,Swanton C,Mantovani A,Gelber RD,Viale G,Goldhirsch A,Giaccone G",Sex-Based Dimorphism of Anticancer Immune Response and Molecular Mechanisms of Immune Evasion,Clin. Cancer Res.,Clinical cancer research: an official journal of the American Association for Cancer Research,2021,27,15,4311-4324,free_access,AACR,01/08/2021,1078-0432,1557-3265,http://dx.doi.org/10.1158/1078-0432.CCR-21-0136;https://www.ncbi.nlm.nih.gov/pubmed/34016641;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7611463;http://clincancerres.aacrjournals.org/cgi/pmidlookup?view=long&pmid=34016641;https://clincancerres.aacrjournals.org/content/early/2021/05/20/1078-0432.CCR-21-0136.abstract;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7611463/,10.1158/1078-0432.CCR-21-0136,34016641,,PMC7611463,,"Division of Medical Oncology for Melanoma & Sarcoma, IEO, European Institute of Oncology IRCCS, Milan, Italy. fabio.conforti@ieo.it. Division of Medical Oncology for Melanoma & Sarcoma, IEO, European Institute of Oncology IRCCS, Milan, Italy. Department of Statistics and Quantitative Methods, University of Milan-Bicocca, Milan, Italy. Division of Thoracic Oncology, European Institute of Oncology, IRCCS, Milan, Italy. Division of Medical Oncology, European Institute of Oncology, IRCCS, Milan, Italy. Department of Experimental Oncology, IEO, European Institute of Oncology IRCCS, Milan, Italy. Comprehensive Cancer Center, Fondazione Policlinico Universitario A. Gemelli, IRCCS, Rome, Italy. Medical Oncology, Department of Translational Medicine and Surgery, Università Cattolica Del Sacro Cuore, Rome, Italy. Harvard Medical School, Boston, Massachusetts. Mary Horrigan Connors Center for Women's Health and Gender Biology, Brigham and Women's Hospital, Boston, Massachusetts. Division of Breast Cancer Surgery, IEO, European Institute of Oncology, IRCCS, Milan, Italy; Faculty of Medicine, University of Milan, Milan, Italy. Department of Surgical Oncology and Department of Genomic Medicine MD Anderson Cancer Center, Houston, Texas. Cancer Evolution and Genome Instability Laboratory, The Francis Crick Institute, Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, United Kingdom. Humanitas Clinical and Research Center IRCCS and Humanitas University, Milan, Italy. Department of Data Science, Dana-Farber Cancer Institute, Harvard Medical School, Harvard T.H. Chan School of Public Health, and Frontier Science & Technology Research Foundation, Boston, Massachusetts. Department of Pathology, IEO, European Institute of Oncology IRCCS Milan, Italy. University of Milan, Milan, Italy. MultiMedica San Giuseppe Hospital, Milan, Italy. Department of Oncology, Weill Cornel Medicine, New York, New York.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
