Item type,Journal,Free_access OR gated?,Publisher,Date published,URLs,DOI
Journal Article,Appetite,free_access,Elsevier,01/09/2021,http://dx.doi.org/10.1016/j.appet.2021.105245,10.1016/j.appet.2021.105245
Journal Article,Appl. Surf. Sci.,free_access,Elsevier,2021,https://www.sciencedirect.com/science/article/pii/S0169433221016779,10.1016/j.apsusc.2021.150608
Journal Article,Biol. Conserv.,free_access,Elsevier,01/04/2021,https://www.sciencedirect.com/science/article/pii/S0006320721001178;http://dx.doi.org/10.1016/j.biocon.2021.109065,10.1016/j.biocon.2021.109065
Journal Article,Bioorg. Med. Chem.,gated,Elsevier,15/05/2021,http://dx.doi.org/10.1016/j.bmc.2021.116115;https://www.ncbi.nlm.nih.gov/pubmed/33862469;https://linkinghub.elsevier.com/retrieve/pii/S0968-0896(21)00123-1;https://www.sciencedirect.com/science/article/pii/S0968089621001231,10.1016/j.bmc.2021.116115
Journal Article,Brain Behav. Immun.,free_access,Elsevier,2021-07,http://dx.doi.org/10.1016/j.bbi.2021.03.024;https://www.ncbi.nlm.nih.gov/pubmed/33794315;https://linkinghub.elsevier.com/retrieve/pii/S0889-1591(21)00154-9;https://www.sciencedirect.com/science/article/pii/S0889159121001549;https://www.medrxiv.org/content/10.1101/2021.01.07.20248981v3.full-text,10.1016/j.bbi.2021.03.024
Journal Article,Cell,free_access,Elsevier,22/07/2021,http://dx.doi.org/10.1016/j.cell.2021.05.021;https://www.ncbi.nlm.nih.gov/pubmed/34081922;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8320529;https://linkinghub.elsevier.com/retrieve/pii/S0092-8674(21)00651-6;https://www.sciencedirect.com/science/article/pii/S0092867421006516,10.1016/j.cell.2021.05.021
Journal Article,Cell,free_access,Elsevier,2021,http://dx.doi.org/10.1016/j.cell.2021.07.018,10.1016/j.cell.2021.07.018
Journal Article,Cell Host Microbe,free_access,Elsevier,14/04/2021,http://dx.doi.org/10.1016/j.chom.2021.02.004;https://www.ncbi.nlm.nih.gov/pubmed/33857419;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8062792;https://linkinghub.elsevier.com/retrieve/pii/S1931-3128(21)00083-4;https://www.sciencedirect.com/science/article/pii/S1931312821000834,10.1016/j.chom.2021.02.004
Journal Article,Cell Rep Phys Sci,free_access,Elsevier,21/04/2021,http://dx.doi.org/10.1016/j.xcrp.2021.100386;https://www.ncbi.nlm.nih.gov/pubmed/33928263;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8063179;https://linkinghub.elsevier.com/retrieve/pii/S2666-3864(21)00076-X;https://www.sciencedirect.com/science/article/pii/S266638642100076X,10.1016/j.xcrp.2021.100386
Journal Article,Cell Rep.,free_access,Elsevier,2021,http://dx.doi.org/10.1016/j.celrep.2021.109119,10.1016/j.celrep.2021.109119
Journal Article,Clin. Microbiol. Infect.,free_access;All_Rights_Reserved,Elsevier,2021-06,http://dx.doi.org/10.1016/j.cmi.2021.02.017;https://www.ncbi.nlm.nih.gov/pubmed/33636339;https://linkinghub.elsevier.com/retrieve/pii/S1198-743X(21)00098-7;https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(21)00098-7/abstract,10.1016/j.cmi.2021.02.017
Journal Article,Clinical Research in â€¦,free_access,Elsevier,2021,https://doi.org/10.1016/j.brs.2021.01.022,10.1016/j.brs.2021.01.022
Journal Article,Curr. Biol.,free_access,Elsevier,02/11/2020,http://dx.doi.org/10.1016/j.cub.2020.08.016;https://www.ncbi.nlm.nih.gov/pubmed/32888488;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7658806;https://linkinghub.elsevier.com/retrieve/pii/S0960-9822(20)31170-2;https://www.sciencedirect.com/science/article/pii/S0960982220311702,10.1016/j.cub.2020.08.016
Journal Article,Data Brief,free_access,Elsevier,2021-08,http://dx.doi.org/10.1016/j.dib.2021.107219;https://www.ncbi.nlm.nih.gov/pubmed/34189207;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8220338;https://linkinghub.elsevier.com/retrieve/pii/S2352-3409(21)00503-5;https://www.sciencedirect.com/science/article/pii/S2352340921005035,10.1016/j.dib.2021.107219
Journal Article,Diabetes Res. Clin. Pract.,free_access,Elsevier,2021-07,http://dx.doi.org/10.1016/j.diabres.2021.108925;https://www.ncbi.nlm.nih.gov/pubmed/34166703;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215881;https://linkinghub.elsevier.com/retrieve/pii/S0168-8227(21)00285-0;https://www.sciencedirect.com/science/article/pii/S0168822721002850;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215881/,10.1016/j.diabres.2021.108925
Journal Article,EBioMedicine,free_access,Elsevier,2021-06,http://dx.doi.org/10.1016/j.ebiom.2021.103398;https://www.ncbi.nlm.nih.gov/pubmed/34049245;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8170117;https://linkinghub.elsevier.com/retrieve/pii/S2352-3964(21)00191-2;https://www.sciencedirect.com/science/article/pii/S2352396421001912,10.1016/j.ebiom.2021.103398
Journal Article,EClinicalMedicine,free_access,Elsevier,01/09/2021,https://www.sciencedirect.com/science/article/pii/S2589537021003308;https://linkinghub.elsevier.com/retrieve/pii/S2589537021003308;http://dx.doi.org/10.1016/j.eclinm.2021.101050;https://www.ncbi.nlm.nih.gov/pubmed/34401686;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8358420,10.1016/j.eclinm.2021.101050
Journal Article,EClinicalMedicine,free_access,Elsevier,13/07/2021,https://www.sciencedirect.com/science/article/pii/S2589537021002893;http://dx.doi.org/10.1016/j.eclinm.2021.101009,10.1016/j.eclinm.2021.101009
Journal Article,Health Place,free_access,Elsevier,29/06/2021,http://dx.doi.org/10.1016/j.healthplace.2021.102611;https://www.ncbi.nlm.nih.gov/pubmed/34210611;https://linkinghub.elsevier.com/retrieve/pii/S1353-8292(21)00107-6;https://www.sciencedirect.com/science/article/pii/S1353829221001076,10.1016/j.healthplace.2021.102611
Journal Article,Int. J. Fatigue,gated,Elsevier,2021-08,http://dx.doi.org/10.1016/j.ijfatigue.2021.106480,10.1016/j.ijfatigue.2021.106480
Journal Article,Int. J. Hyg. Environ. Health,free_access,Elsevier,2021-06,http://dx.doi.org/10.1016/j.ijheh.2021.113766;https://www.ncbi.nlm.nih.gov/pubmed/34044249;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8223501;https://linkinghub.elsevier.com/retrieve/pii/S1438-4639(21)00081-X;https://www.sciencedirect.com/science/article/pii/S143846392100081X,10.1016/j.ijheh.2021.113766
Journal Article,Int. J. Infect. Dis.,gated,Elsevier,19/06/2021,https://linkinghub.elsevier.com/retrieve/pii/S1201971221005233;http://dx.doi.org/10.1016/j.ijid.2021.06.034;https://www.ncbi.nlm.nih.gov/pubmed/34157385;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8214317;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8214317/;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8214317,10.1016/j.ijid.2021.06.034
Journal Article,iScience,free_access,Elsevier,2021,http://dx.doi.org/10.1016/j.isci.2021.102870,10.1016/j.isci.2021.102870
Journal Article,iScience,free_access,Elsevier,21/05/2021,http://dx.doi.org/10.1016/j.isci.2021.102484;https://www.ncbi.nlm.nih.gov/pubmed/34113825;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8169945;https://linkinghub.elsevier.com/retrieve/pii/S2589-0042(21)00452-1;https://www.sciencedirect.com/science/article/pii/S2589004221004521,10.1016/j.isci.2021.102484
Journal Article,J. Am. Acad. Dermatol.,gated,Elsevier,06/08/2021,http://dx.doi.org/10.1016/j.jaad.2021.07.066;https://www.ncbi.nlm.nih.gov/pubmed/34371093;https://linkinghub.elsevier.com/retrieve/pii/S0190-9622(21)02276-3;https://www.sciencedirect.com/science/article/pii/S0190962221022763,10.1016/j.jaad.2021.07.066
Journal Article,J. Fluor. Chem.,free_access,Elsevier,2021,http://dx.doi.org/10.1016/j.jfluchem.2021.109804,10.1016/j.jfluchem.2021.109804
Journal Article,J. Infect.,free_access,Elsevier,2021-06,http://dx.doi.org/10.1016/j.jinf.2021.04.012;https://www.ncbi.nlm.nih.gov/pubmed/33892014;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8057690;https://linkinghub.elsevier.com/retrieve/pii/S0163-4453(21)00198-5;https://www.sciencedirect.com/science/article/pii/S0163445321001985;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8057690/,10.1016/j.jinf.2021.04.012
Journal Article,J. Invest. Dermatol.,free_access;Wiki-figures,Elsevier,08/06/2021,http://dx.doi.org/10.1016/j.jid.2021.02.765;https://www.ncbi.nlm.nih.gov/pubmed/34116062;https://linkinghub.elsevier.com/retrieve/pii/S0022-202X(21)01320-8;http://openaccess.sgul.ac.uk/id/eprint/113344/;http://openaccess.sgul.ac.uk/id/eprint/113344/6/1-s2.0-S0022202X21013208-main.pdf,10.1016/j.jid.2021.02.765
Journal Article,J. Thorac. Oncol.,gated,Elsevier,01/04/2021,https://doi.org/10.1016/S1556-0864(21)01935-3;http://dx.doi.org/10.1016/S1556-0864(21)01935-3;https://www.jto.org/article/S1556-0864(21)01935-3/abstract,10.1016/S1556-0864(21)01935-3
Journal Article,Journal of Building Engineering,free_access,Elsevier,01/10/2021,https://www.sciencedirect.com/science/article/pii/S2352710221008639;http://dx.doi.org/10.1016/j.jobe.2021.103005,10.1016/j.jobe.2021.103005
Journal Article,Journal of Materials Research and Technology,free_access,Elsevier,31/07/2021,https://www.sciencedirect.com/science/article/pii/S2238785421007894;http://dx.doi.org/10.1016/j.jmrt.2021.07.126,10.1016/j.jmrt.2021.07.126
